time(s),F(N)
0.0,-0.001372
0.0125,-0.001372
0.025,-0.001372
0.037500000000000006,-0.001372
0.05,-0.001372
0.0625,0.001568
0.07500000000000001,0.001568
0.08750000000000001,0.001568
0.1,0.001568
0.1125,0.001568
0.125,0.017052
0.1375,0.017052
0.15000000000000002,0.017052
0.1625,0.017052
0.17500000000000002,0.017052
0.1875,0.029792000000000003
0.2,0.029792000000000003
0.21250000000000002,0.029792000000000003
0.225,0.029792000000000003
0.23750000000000002,0.029792000000000003
0.25,0.046844000000000004
0.2625,0.046844000000000004
0.275,0.046844000000000004
0.28750000000000003,0.046844000000000004
0.30000000000000004,0.046844000000000004
0.3125,0.06762
0.325,0.06762
0.3375,0.06762
0.35000000000000003,0.06762
0.36250000000000004,0.06762
0.375,0.090748
0.3875,0.090748
0.4,0.090748
0.41250000000000003,0.090748
0.42500000000000004,0.090748
0.4375,0.160132
0.45,0.160132
0.4625,0.160132
0.47500000000000003,0.160132
0.48750000000000004,0.160132
0.5,0.166796
0.5125000000000001,0.166796
0.525,0.166796
0.5375,0.166796
0.55,0.166796
0.5625,0.137788
0.5750000000000001,0.137788
0.5875,0.137788
0.6000000000000001,0.137788
0.6125,0.137788
0.625,0.19208
0.6375000000000001,0.19208
0.65,0.19208
0.6625000000000001,0.19208
0.675,0.19208
0.6875,0.255388
0.7000000000000001,0.255388
0.7125,0.255388
0.7250000000000001,0.255388
0.7375,0.255388
0.75,0.37004800000000004
0.7625000000000001,0.37004800000000004
0.775,0.37004800000000004
0.7875000000000001,0.37004800000000004
0.8,0.37004800000000004
0.8125,0.547428
0.8250000000000001,0.547428
0.8375,0.547428
0.8500000000000001,0.547428
0.8625,0.547428
0.875,0.945896
0.8875000000000001,0.945896
0.9,0.945896
0.9125000000000001,0.945896
0.925,0.945896
0.9375,1.7048079999999999
0.9500000000000001,1.7048079999999999
0.9625,1.7048079999999999
0.9750000000000001,1.7048079999999999
0.9875,1.7048079999999999
1.0,2.5866119999999997
1.0125,2.5866119999999997
1.0250000000000001,2.5866119999999997
1.0375,2.5866119999999997
1.05,2.5866119999999997
1.0625,3.113852
1.075,3.113852
1.0875000000000001,3.113852
1.1,3.113852
1.1125,3.113852
1.125,12.139456
1.1375,12.139456
1.1500000000000001,12.139456
1.1625,12.139456
1.175,12.139456
1.1875,14.277032
1.2000000000000002,14.277032
1.2125000000000001,14.277032
1.225,14.277032
1.2375,14.277032
1.25,15.604932
1.2625000000000002,15.604932
1.2750000000000001,15.604932
1.2875,15.604932
1.3,15.604932
1.3125,18.212516
1.3250000000000002,18.212516
1.3375000000000001,18.212516
1.35,18.212516
1.3625,18.212516
1.375,21.395948
1.3875000000000002,21.395948
1.4000000000000001,21.395948
1.4125,21.395948
1.425,21.395948
1.4375,23.786756
1.4500000000000002,23.786756
1.4625000000000001,23.786756
1.475,23.786756
1.4875,23.786756
1.5,25.19874
1.5125000000000002,25.19874
1.5250000000000001,25.19874
1.5375,25.19874
1.55,25.19874
1.5625,26.739888
1.5750000000000002,26.739888
1.5875000000000001,26.739888
1.6,26.739888
1.6125,26.739888
1.625,28.280056000000002
1.6375000000000002,28.280056000000002
1.6500000000000001,28.280056000000002
1.6625,28.280056000000002
1.675,28.280056000000002
1.6875,29.851584000000003
1.7000000000000002,29.851584000000003
1.7125000000000001,29.851584000000003
1.725,29.851584000000003
1.7375,29.851584000000003
1.75,31.627148
1.7625000000000002,31.627148
1.7750000000000001,31.627148
1.7875,31.627148
1.8,31.627148
1.8125,33.489148
1.8250000000000002,33.489148
1.8375000000000001,33.489148
1.85,33.489148
1.8625,33.489148
1.875,35.3437
1.8875000000000002,35.3437
1.9000000000000001,35.3437
1.9125,35.3437
1.925,35.3437
1.9375,36.918952000000004
1.9500000000000002,36.918952000000004
1.9625000000000001,36.918952000000004
1.975,36.918952000000004
1.9875,36.918952000000004
2.0,38.582796
2.0125,38.582796
2.025,38.582796
2.0375,38.582796
2.0500000000000003,38.582796
2.0625,40.053776
2.075,40.053776
2.0875,40.053776
2.1,40.053776
2.1125000000000003,40.053776
2.125,41.812288
2.1375,41.812288
2.15,41.812288
2.1625,41.812288
2.1750000000000003,41.812288
2.1875,42.492996
2.2,42.492996
2.2125,42.492996
2.225,42.492996
2.2375000000000003,42.492996
2.25,43.014356
2.2625,43.014356
2.275,43.014356
2.2875,43.014356
2.3000000000000003,43.014356
2.3125,43.359316
2.325,43.359316
2.3375,43.359316
2.35,43.359316
2.3625000000000003,43.359316
2.375,43.782284
2.3875,43.782284
2.4000000000000004,43.782284
2.4125,43.782284
2.4250000000000003,43.782284
2.4375,44.466716000000005
2.45,44.466716000000005
2.4625000000000004,44.466716000000005
2.475,44.466716000000005
2.4875000000000003,44.466716000000005
2.5,45.291287999999994
2.5125,45.291287999999994
2.5250000000000004,45.291287999999994
2.5375,45.291287999999994
2.5500000000000003,45.291287999999994
2.5625,45.753848
2.575,45.753848
2.5875000000000004,45.753848
2.6,45.753848
2.6125000000000003,45.753848
2.625,46.466504
2.6375,46.466504
2.6500000000000004,46.466504
2.6625,46.466504
2.6750000000000003,46.466504
2.6875,46.835964000000004
2.7,46.835964000000004
2.7125000000000004,46.835964000000004
2.725,46.835964000000004
2.7375000000000003,46.835964000000004
2.75,47.435528
2.7625,47.435528
2.7750000000000004,47.435528
2.7875,47.435528
2.8000000000000003,47.435528
2.8125,48.112511999999995
2.825,48.112511999999995
2.8375000000000004,48.112511999999995
2.85,48.112511999999995
2.8625000000000003,48.112511999999995
2.875,48.780676
2.8875,48.780676
